French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
car,because
mettre,to put
aucun,no
laisse,leash
chaque,each
parlé,speak
arrivé,come
bébé,baby
longtemps,long time
vont,will
pendant,while
aucune,any
place,square
parle,speak
savais,knew
étaient,were
attention,Warning
pourrais,could
affaire,case
donner,give
type,type
leurs,their
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
premier,first
perdu,lost
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
point,point
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
chambre,bedroom
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
dirait,would say
donne,given
loin,far
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
